"","age","b_age","se_age","base_age","crime","crime_name","b_age_low","b_age_upper"
"1",15,-0.107230119407177,0.00881425011903048,-2.51066374778748,4,"Total",-0.126569390296936,-0.0852853804826736
"2",16,-0.0988276898860931,0.0103011503815651,-2.36130118370056,4,"Total",-0.121761120855808,-0.073009192943573
"3",17,-0.0555995292961597,0.0125559102743864,-2.31204915046692,4,"Total",-0.0875552892684937,-0.026978449895978
"4",18,-0.0343933999538422,0.0069576702080667,-2.23159217834473,4,"Total",-0.0535598881542683,-0.0204855296760798
"5",19,-0.0460861101746559,0.00686724996194243,-2.34896039962769,4,"Total",-0.0648274496197701,-0.0334366299211979
"6",20,-0.058701179921627,0.00770423002541065,-2.45906090736389,4,"Total",-0.0767759680747986,-0.0418301485478878
"7",21,-0.0590746514499187,0.00808032974600792,-2.51192927360535,4,"Total",-0.0787632092833519,-0.0415258593857288
"8",22,-0.0455551818013191,0.0108816102147102,-2.586256980896,4,"Total",-0.0707970410585403,-0.0221933498978615
"9",23,-0.0539954490959644,0.0169680994004011,-2.65124011039734,4,"Total",-0.0901530012488365,-0.0142921395599842
"10",24,-0.0474149212241173,0.023077929392457,-2.71833610534668,4,"Total",-0.097233958542347,0.00605831993743777
"11",15,-0.0536027401685715,0.0142024904489517,-3.99894404411316,1,"Violent",-0.0827282965183258,-0.0221307594329119
"12",16,-0.0440258011221886,0.0185911003500223,-3.81646704673767,1,"Violent",-0.0899915918707848,-0.00199021003209054
"13",17,-0.0447092913091183,0.0148310298100114,-3.76114869117737,1,"Violent",-0.0832375586032867,-0.0148880695924163
"14",18,-0.0729026719927788,0.0178552698343992,-3.66425037384033,1,"Violent",-0.111334919929504,-0.0277863200753927
"15",19,-0.0875476971268654,0.021686989814043,-3.6927604675293,1,"Violent",-0.143841773271561,-0.0389002114534378
"16",20,-0.0929247215390205,0.0170417092740536,-3.68023300170898,1,"Violent",-0.140286400914192,-0.0584358312189579
"17",21,-0.054775919765234,0.0128439404070377,-3.60905170440674,1,"Violent",-0.0834499672055244,-0.0172858908772469
"18",22,-0.0280285403132439,0.0187581796199083,-3.62059998512268,1,"Violent",-0.0769439414143562,0.012904729694128
"19",23,-0.0104988003149629,0.0232655201107264,-3.64353036880493,1,"Violent",-0.0744119063019753,0.0377670414745808
"20",24,0.000556530023459345,0.0262788608670235,-3.66747546195984,1,"Violent",-0.0647572204470634,0.0582846403121948
"21",15,-0.0819498226046562,0.0142700802534819,-2.96612453460693,2,"Property",-0.119253158569336,-0.0513060986995697
"22",16,-0.0754884779453278,0.0110034896060824,-2.90431094169617,2,"Property",-0.103351637721062,-0.0541822910308838
"23",17,-0.0376843586564064,0.0177996307611465,-2.97625803947449,2,"Property",-0.0860535800457001,0.000859580002725124
"24",18,-0.0219487491995096,0.00764578999951482,-3.01739859580994,2,"Property",-0.0442686416208744,-0.00823375955224037
"25",19,-0.0337465517222881,0.0107079101726413,-3.26260185241699,2,"Property",-0.0659405216574669,-0.0100345499813557
"26",20,-0.0523020289838314,0.0100606000050902,-3.50287413597107,2,"Property",-0.0797042921185493,-0.0331314913928509
"27",21,-0.0627003684639931,0.0124660404399037,-3.65779781341553,2,"Property",-0.0955422967672348,-0.0386552400887012
"28",22,-0.0452375710010529,0.0141830099746585,-3.81105709075928,2,"Property",-0.0798429176211357,-0.0156009197235107
"29",23,-0.0509736016392708,0.0177920591086149,-3.93208241462708,2,"Property",-0.0909628197550774,-0.00991191994398832
"30",24,-0.0539194606244564,0.0305301696062088,-4.04394578933716,2,"Property",-0.137499511241913,0.00872332043945789
"31",15,-0.224206775426865,0.0368369482457638,-4.47813510894775,3,"Drugs",-0.306638687849045,-0.132170647382736
"32",16,-0.18523582816124,0.0284320395439863,-4.04619312286377,3,"Drugs",-0.24994008243084,-0.111530110239983
"33",17,-0.129724949598312,0.0178328901529312,-3.69667887687683,3,"Drugs",-0.166446715593338,-0.0861868783831596
"34",18,-0.0201626196503639,0.0133104296401143,-3.41736459732056,3,"Drugs",-0.0519147589802742,0.00782063975930214
"35",19,-0.0373906008899212,0.0169923808425665,-3.43359303474426,3,"Drugs",-0.0810948684811592,-0.00277958996593952
"36",20,-0.0566632598638535,0.0185425002127886,-3.50051856040955,3,"Drugs",-0.0998498201370239,-0.0154351200908422
"37",21,-0.0788024291396141,0.014988100156188,-3.5670485496521,3,"Drugs",-0.114483341574669,-0.0481244102120399
"38",22,-0.0800038278102875,0.0117806000635028,-3.63425540924072,3,"Drugs",-0.106785826385021,-0.0529143288731575
"39",23,-0.0753426402807236,0.0115442797541618,-3.69714713096619,3,"Drugs",-0.0962531119585037,-0.0407477281987667
"40",24,-0.0672930181026459,0.0185833908617496,-3.77624559402466,3,"Drugs",-0.105225868523121,-0.0198117699474096
